X,CH1,
Second,Volt,
7.44000e-05,6.00e-01,
7.48000e-05,6.80e-01,
7.52000e-05,7.60e-01,
7.56000e-05,8.80e-01,
7.60000e-05,8.80e-01,
7.64000e-05,1.04e+00,
7.68000e-05,1.08e+00,
7.72000e-05,1.28e+00,
7.76000e-05,1.28e+00,
7.80000e-05,1.52e+00,
7.84000e-05,1.56e+00,
7.88000e-05,1.76e+00,
7.92000e-05,1.76e+00,
7.96000e-05,2.00e+00,
8.00000e-05,2.04e+00,
8.04000e-05,2.24e+00,
8.08000e-05,2.28e+00,
8.12000e-05,2.52e+00,
8.16000e-05,2.56e+00,
8.20000e-05,2.72e+00,
8.24000e-05,2.76e+00,
8.28000e-05,2.96e+00,
8.32000e-05,2.96e+00,
8.36000e-05,3.16e+00,
8.40000e-05,3.16e+00,
8.44000e-05,3.32e+00,
8.48000e-05,3.32e+00,
8.52000e-05,3.48e+00,
8.56000e-05,3.48e+00,
8.60000e-05,3.64e+00,
8.64000e-05,3.64e+00,
8.68000e-05,3.76e+00,
8.72000e-05,3.76e+00,
8.76000e-05,3.88e+00,
8.80000e-05,3.84e+00,
8.84000e-05,3.92e+00,
8.88000e-05,3.92e+00,
8.92000e-05,3.96e+00,
8.96000e-05,3.96e+00,
9.00000e-05,3.96e+00,
9.04000e-05,3.96e+00,
9.08000e-05,3.96e+00,
9.12000e-05,3.92e+00,
9.16000e-05,3.88e+00,
9.20000e-05,3.88e+00,
9.24000e-05,3.80e+00,
9.28000e-05,3.76e+00,
9.32000e-05,3.64e+00,
9.36000e-05,3.64e+00,
9.40000e-05,3.56e+00,
9.44000e-05,3.48e+00,
9.48000e-05,3.36e+00,
9.52000e-05,3.32e+00,
9.56000e-05,3.16e+00,
9.60000e-05,3.16e+00,
9.64000e-05,3.04e+00,
9.68000e-05,2.96e+00,
9.72000e-05,2.80e+00,
9.76000e-05,2.76e+00,
9.80000e-05,2.56e+00,
9.84000e-05,2.52e+00,
9.88000e-05,2.32e+00,
9.92000e-05,2.32e+00,
9.96000e-05,2.08e+00,
1.00000e-04,2.04e+00,
1.00400e-04,1.80e+00,
1.00800e-04,1.76e+00,
1.01200e-04,1.60e+00,
1.01600e-04,1.56e+00,
1.02000e-04,1.36e+00,
1.02400e-04,1.32e+00,
1.02800e-04,1.12e+00,
1.03200e-04,1.08e+00,
1.03600e-04,9.20e-01,
1.04000e-04,9.20e-01,
1.04400e-04,7.20e-01,
1.04800e-04,7.20e-01,
1.05200e-04,5.60e-01,
1.05600e-04,5.60e-01,
1.06000e-04,4.40e-01,
1.06400e-04,3.60e-01,
1.06800e-04,3.20e-01,
1.07200e-04,3.20e-01,
1.07600e-04,2.00e-01,
1.08000e-04,2.00e-01,
1.08400e-04,1.60e-01,
1.08800e-04,1.60e-01,
1.09200e-04,1.20e-01,
1.09600e-04,1.20e-01,
1.10000e-04,7.99e-02,
1.10400e-04,7.99e-02,
1.10800e-04,1.60e-01,
1.11200e-04,1.20e-01,
1.11600e-04,2.00e-01,
1.12000e-04,2.00e-01,
1.12400e-04,3.20e-01,
1.12800e-04,3.20e-01,
1.13200e-04,4.00e-01,
1.13600e-04,4.40e-01,
1.14000e-04,5.20e-01,
1.14400e-04,5.60e-01,
1.14800e-04,6.80e-01,
1.15200e-04,6.80e-01,
1.15600e-04,8.80e-01,
1.16000e-04,9.20e-01,
1.16400e-04,1.08e+00,
1.16800e-04,1.08e+00,
1.17200e-04,1.28e+00,
1.17600e-04,1.28e+00,
1.18000e-04,1.52e+00,
1.18400e-04,1.56e+00,
1.18800e-04,1.76e+00,
1.19200e-04,1.80e+00,
1.19600e-04,2.00e+00,
1.20000e-04,2.08e+00,
1.20400e-04,2.24e+00,
1.20800e-04,2.32e+00,
1.21200e-04,2.52e+00,
1.21600e-04,2.52e+00,
1.22000e-04,2.76e+00,
1.22400e-04,2.76e+00,
1.22800e-04,2.96e+00,
1.23200e-04,3.00e+00,
1.23600e-04,3.16e+00,
1.24000e-04,3.16e+00,
1.24400e-04,3.32e+00,
1.24800e-04,3.32e+00,
1.25200e-04,3.48e+00,
1.25600e-04,3.52e+00,
1.26000e-04,3.64e+00,
1.26400e-04,3.64e+00,
1.26800e-04,3.76e+00,
1.27200e-04,3.76e+00,
1.27600e-04,3.84e+00,
1.28000e-04,3.84e+00,
1.28400e-04,3.92e+00,
1.28800e-04,3.92e+00,
1.29200e-04,3.96e+00,
1.29600e-04,3.96e+00,
1.30000e-04,3.96e+00,
1.30400e-04,3.96e+00,
1.30800e-04,3.92e+00,
1.31200e-04,3.92e+00,
1.31600e-04,3.88e+00,
1.32000e-04,3.88e+00,
1.32400e-04,3.76e+00,
1.32800e-04,3.72e+00,
1.33200e-04,3.64e+00,
1.33600e-04,3.64e+00,
1.34000e-04,3.52e+00,
1.34400e-04,3.52e+00,
1.34800e-04,3.32e+00,
1.35200e-04,3.32e+00,
1.35600e-04,3.16e+00,
1.36000e-04,3.16e+00,
1.36400e-04,3.00e+00,
1.36800e-04,2.96e+00,
1.37200e-04,2.76e+00,
1.37600e-04,2.72e+00,
1.38000e-04,2.56e+00,
1.38400e-04,2.52e+00,
1.38800e-04,2.32e+00,
1.39200e-04,2.28e+00,
1.39600e-04,2.08e+00,
1.40000e-04,2.04e+00,
1.40400e-04,1.80e+00,
1.40800e-04,1.76e+00,
1.41200e-04,1.56e+00,
1.41600e-04,1.56e+00,
1.42000e-04,1.36e+00,
1.42400e-04,1.28e+00,
1.42800e-04,1.12e+00,
1.43200e-04,1.08e+00,
1.43600e-04,9.20e-01,
1.44000e-04,8.80e-01,
1.44400e-04,7.60e-01,
1.44800e-04,6.80e-01,
1.45200e-04,5.60e-01,
1.45600e-04,5.60e-01,
1.46000e-04,4.40e-01,
1.46400e-04,4.40e-01,
1.46800e-04,3.20e-01,
1.47200e-04,3.20e-01,
1.47600e-04,2.00e-01,
1.48000e-04,1.60e-01,
1.48400e-04,2.00e-01,
1.48800e-04,1.20e-01,
1.49200e-04,7.99e-02,
1.49600e-04,7.99e-02,
1.50000e-04,1.20e-01,
1.50400e-04,7.99e-02,
1.50800e-04,1.60e-01,
1.51200e-04,1.20e-01,
1.51600e-04,2.00e-01,
1.52000e-04,2.00e-01,
1.52400e-04,2.80e-01,
1.52800e-04,2.80e-01,
1.53200e-04,4.00e-01,
1.53600e-04,4.00e-01,
1.54000e-04,5.20e-01,
1.54400e-04,5.20e-01,
1.54800e-04,6.80e-01,
1.55200e-04,7.20e-01,
1.55600e-04,8.40e-01,
1.56000e-04,8.80e-01,
1.56400e-04,1.04e+00,
1.56800e-04,1.08e+00,
1.57200e-04,1.28e+00,
1.57600e-04,1.28e+00,
1.58000e-04,1.48e+00,
1.58400e-04,1.52e+00,
1.58800e-04,1.72e+00,
1.59200e-04,1.76e+00,
1.59600e-04,2.00e+00,
1.60000e-04,2.04e+00,
1.60400e-04,2.24e+00,
