X,CH1,CH2,
Second,Volt,Volt,
9.83500e-04,1.52e+00,0.00e+00,
9.83600e-04,1.52e+00,4.00e-02,
9.83700e-04,1.46e+00,0.00e+00,
9.83800e-04,1.46e+00,2.00e-02,
9.83900e-04,1.40e+00,4.00e-02,
9.84000e-04,1.40e+00,2.00e-02,
9.84100e-04,1.34e+00,2.00e-02,
9.84200e-04,1.30e+00,4.00e-02,
9.84300e-04,1.22e+00,2.00e-02,
9.84400e-04,1.22e+00,4.00e-02,
9.84500e-04,1.12e+00,4.00e-02,
9.84600e-04,1.08e+00,4.00e-02,
9.84700e-04,9.80e-01,4.00e-02,
9.84800e-04,9.60e-01,4.00e-02,
9.84900e-04,8.20e-01,2.00e-02,
9.85000e-04,8.20e-01,4.00e-02,
9.85100e-04,6.60e-01,4.00e-02,
9.85200e-04,6.40e-01,4.00e-02,
9.85300e-04,5.20e-01,4.00e-02,
9.85400e-04,5.00e-01,4.00e-02,
9.85500e-04,3.40e-01,6.00e-02,
9.85600e-04,3.20e-01,4.00e-02,
9.85700e-04,1.80e-01,6.00e-02,
9.85800e-04,1.40e-01,4.00e-02,
9.85900e-04,0.00e+00,6.00e-02,
9.86000e-04,-2.00e-02,4.00e-02,
9.86100e-04,-2.00e-01,6.00e-02,
9.86200e-04,-2.40e-01,4.00e-02,
9.86300e-04,-3.80e-01,4.00e-02,
9.86400e-04,-4.00e-01,4.00e-02,
9.86500e-04,-5.60e-01,6.00e-02,
9.86600e-04,-5.60e-01,4.00e-02,
9.86700e-04,-7.20e-01,4.00e-02,
9.86800e-04,-7.40e-01,4.00e-02,
9.86900e-04,-9.00e-01,6.00e-02,
9.87000e-04,-9.00e-01,4.00e-02,
9.87100e-04,-1.02e+00,2.00e-02,
9.87200e-04,-1.04e+00,4.00e-02,
9.87300e-04,-1.16e+00,4.00e-02,
9.87400e-04,-1.16e+00,4.00e-02,
9.87500e-04,-1.26e+00,2.00e-02,
9.87600e-04,-1.26e+00,2.00e-02,
9.87700e-04,-1.38e+00,4.00e-02,
9.87800e-04,-1.38e+00,2.00e-02,
9.87900e-04,-1.44e+00,2.00e-02,
9.88000e-04,-1.46e+00,2.00e-02,
9.88100e-04,-1.50e+00,4.00e-02,
9.88200e-04,-1.50e+00,2.00e-02,
9.88300e-04,-1.56e+00,2.00e-02,
9.88400e-04,-1.56e+00,2.00e-02,
9.88500e-04,-1.58e+00,0.00e+00,
9.88600e-04,-1.58e+00,2.00e-02,
9.88700e-04,-1.56e+00,0.00e+00,
9.88800e-04,-1.58e+00,0.00e+00,
9.88900e-04,-1.56e+00,2.00e-02,
9.89000e-04,-1.56e+00,0.00e+00,
9.89100e-04,-1.52e+00,2.00e-02,
9.89200e-04,-1.54e+00,0.00e+00,
9.89300e-04,-1.48e+00,2.00e-02,
9.89400e-04,-1.48e+00,0.00e+00,
9.89500e-04,-1.40e+00,0.00e+00,
9.89600e-04,-1.36e+00,0.00e+00,
9.89700e-04,-1.30e+00,0.00e+00,
9.89800e-04,-1.30e+00,0.00e+00,
9.89900e-04,-1.16e+00,0.00e+00,
9.90000e-04,-1.18e+00,0.00e+00,
9.90100e-04,-1.08e+00,0.00e+00,
9.90200e-04,-1.02e+00,0.00e+00,
9.90300e-04,-9.20e-01,0.00e+00,
9.90400e-04,-9.00e-01,0.00e+00,
9.90500e-04,-7.40e-01,0.00e+00,
9.90600e-04,-7.60e-01,0.00e+00,
9.90700e-04,-6.00e-01,0.00e+00,
9.90800e-04,-5.80e-01,0.00e+00,
9.90900e-04,-4.20e-01,0.00e+00,
9.91000e-04,-4.20e-01,0.00e+00,
9.91100e-04,-2.60e-01,0.00e+00,
9.91200e-04,-2.40e-01,0.00e+00,
9.91300e-04,-7.99e-02,0.00e+00,
9.91400e-04,-6.00e-02,0.00e+00,
9.91500e-04,1.00e-01,0.00e+00,
9.91600e-04,1.40e-01,0.00e+00,
9.91700e-04,3.00e-01,0.00e+00,
9.91800e-04,3.20e-01,0.00e+00,
9.91900e-04,4.60e-01,0.00e+00,
9.92000e-04,4.80e-01,0.00e+00,
9.92100e-04,6.40e-01,-2.00e-02,
9.92200e-04,6.40e-01,0.00e+00,
9.92300e-04,8.20e-01,0.00e+00,
9.92400e-04,8.20e-01,0.00e+00,
9.92500e-04,9.60e-01,0.00e+00,
9.92600e-04,9.60e-01,0.00e+00,
9.92700e-04,1.08e+00,0.00e+00,
9.92800e-04,1.08e+00,0.00e+00,
9.92900e-04,1.20e+00,0.00e+00,
9.93000e-04,1.20e+00,0.00e+00,
9.93100e-04,1.30e+00,0.00e+00,
9.93200e-04,1.32e+00,0.00e+00,
9.93300e-04,1.38e+00,0.00e+00,
9.93400e-04,1.38e+00,2.00e-02,
9.93500e-04,1.46e+00,0.00e+00,
9.93600e-04,1.46e+00,0.00e+00,
9.93700e-04,1.52e+00,2.00e-02,
9.93800e-04,1.52e+00,0.00e+00,
9.93900e-04,1.54e+00,2.00e-02,
9.94000e-04,1.54e+00,0.00e+00,
9.94100e-04,1.56e+00,2.00e-02,
9.94200e-04,1.54e+00,0.00e+00,
9.94300e-04,1.56e+00,4.00e-02,
9.94400e-04,1.54e+00,0.00e+00,
9.94500e-04,1.54e+00,4.00e-02,
9.94600e-04,1.52e+00,4.00e-02,
9.94700e-04,1.48e+00,2.00e-02,
9.94800e-04,1.48e+00,2.00e-02,
9.94900e-04,1.42e+00,4.00e-02,
9.95000e-04,1.40e+00,4.00e-02,
9.95100e-04,1.36e+00,2.00e-02,
9.95200e-04,1.34e+00,4.00e-02,
9.95300e-04,1.24e+00,2.00e-02,
9.95400e-04,1.22e+00,4.00e-02,
9.95500e-04,1.14e+00,4.00e-02,
9.95600e-04,1.12e+00,4.00e-02,
9.95700e-04,1.00e+00,4.00e-02,
9.95800e-04,1.00e+00,4.00e-02,
9.95900e-04,8.80e-01,6.00e-02,
9.96000e-04,8.60e-01,4.00e-02,
9.96100e-04,7.00e-01,6.00e-02,
9.96200e-04,7.00e-01,4.00e-02,
9.96300e-04,5.40e-01,6.00e-02,
9.96400e-04,5.20e-01,4.00e-02,
9.96500e-04,3.80e-01,4.00e-02,
9.96600e-04,3.60e-01,6.00e-02,
9.96700e-04,1.80e-01,4.00e-02,
9.96800e-04,1.60e-01,4.00e-02,
9.96900e-04,0.00e+00,6.00e-02,
9.97000e-04,0.00e+00,6.00e-02,
9.97100e-04,-2.00e-01,4.00e-02,
9.97200e-04,-2.00e-01,6.00e-02,
9.97300e-04,-3.60e-01,4.00e-02,
9.97400e-04,-3.60e-01,4.00e-02,
9.97500e-04,-5.40e-01,6.00e-02,
9.97600e-04,-5.60e-01,4.00e-02,
9.97700e-04,-7.00e-01,6.00e-02,
9.97800e-04,-7.20e-01,4.00e-02,
